Dataset;Classifier;Statistic
"bppfedge";"12Vote:-S:1:-B:weka.classifiers.lazy.IBk-K1-W0-I-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K3-W0-I-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K5-W0-I-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K9-W0-I-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K13-W0-I-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-R:AVG";61.43572621035059
"bppfedge";"13Vote:-S:1:-B:weka.classifiers.lazy.IBk-K1-W0-F-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K3-W0-F-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K5-W0-F-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K9-W0-F-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K13-W0-F-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-R:AVG";60.934891485809686
"bppfedge";"14Stacking:-X:10:-M:weka.classifiers.trees.RandomForest-P100-I100-num-slots1-K0-M1.0-V0.001-S1:-S:1:-num-slots:1:-B:weka.classifiers.lazy.IBk-K1-W0-I-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K3-W0-I-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K5-W0-I-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K9-W0-I-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K13-W0-I-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\""";62.47913188647746
"bppfedge";"15Stacking:-X:10:-M:weka.classifiers.trees.J48-C0.25-M2:-S:1:-num-slots:1:-B:weka.classifiers.lazy.IBk-K1-W0-I-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K3-W0-I-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K5-W0-I-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K9-W0-I-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K13-W0-I-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\""";56.92821368948247
"bppfedge";"16Stacking:-X:10:-M:weka.classifiers.bayes.NaiveBayes:-S:1:-num-slots:1:-B:weka.classifiers.lazy.IBk-K1-W0-I-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K3-W0-I-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K5-W0-I-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K9-W0-I-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K13-W0-I-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\""";52.25375626043406
"bppfedge";"17Stacking:-X:10:-M:weka.classifiers.trees.RandomForest-P100-I100-num-slots1-K0-M1.0-V0.001-S1:-S:1:-num-slots:1:-B:weka.classifiers.lazy.IBk-K1-W0-F-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K3-W0-F-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K5-W0-F-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K9-W0-F-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K13-W0-F-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\""";59.47412353923205
"bppfedge";"18Stacking:-X:10:-M:weka.classifiers.trees.J48-C0.25-M2:-S:1:-num-slots:1:-B:weka.classifiers.lazy.IBk-K1-W0-F-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K3-W0-F-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K5-W0-F-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K9-W0-F-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K13-W0-F-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\""";57.053422370617696
"bppfedge";"19Stacking:-X:10:-M:weka.classifiers.bayes.NaiveBayes:-S:1:-num-slots:1:-B:weka.classifiers.lazy.IBk-K1-W0-F-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K3-W0-F-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K5-W0-F-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K9-W0-F-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\"":-B:weka.classifiers.lazy.IBk-K13-W0-F-A"weka.core.neighboursearch.LinearNNSearch-A\"weka.core.EuclideanDistance-Rfirst-last\""";53.50584307178631
"bppfedge";"20Vote:-S:1:-B:weka.classifiers.bayes.BayesNet-D-Qweka.classifiers.bayes.net.search.local.K2---P1-SBAYES-Eweka.classifiers.bayes.net.estimate.SimpleEstimator---A0.5:-B:weka.classifiers.trees.J48-C0.25-M2:-B:weka.classifiers.functions.SMO-C1.0-L0.001-P1.0E-12-N0-V-1-W1-K"weka.classifiers.functions.supportVector.PolyKernel-E1.0-C250007"-calibrator"weka.classifiers.functions.Logistic-R1.0E-8-M-1-num-decimal-places4":-B:weka.classifiers.trees.RandomForest-P100-I100-num-slots1-K0-M1.0-V0.001-S1:-R:AVG";66.9449081803005
"bppfedge";"21Stacking:-X:10:-M:weka.classifiers.trees.RandomForest-P100-I100-num-slots1-K0-M1.0-V0.001-S1:-S:1:-num-slots:1:-B:weka.classifiers.bayes.BayesNet-D-Qweka.classifiers.bayes.net.search.local.K2---P1-SBAYES-Eweka.classifiers.bayes.net.estimate.SimpleEstimator---A0.5:-B:weka.classifiers.trees.J48-C0.25-M2:-B:weka.classifiers.functions.SMO-C1.0-L0.001-P1.0E-12-N0-V-1-W1-K"weka.classifiers.functions.supportVector.PolyKernel-E1.0-C250007"-calibrator"weka.classifiers.functions.Logistic-R1.0E-8-M-1-num-decimal-places4":-B:weka.classifiers.trees.RandomForest-P100-I100-num-slots1-K0-M1.0-V0.001-S1";69.44908180300501
